Namespace(base_lr=0.01, batch_size=12, cmc_init_shared=0.4, cmc_loss_weight=1.0, cmc_mutual_conf_thresh=0.75, cmc_mutual_weight=0.5, cmc_patch_size=8, cmc_warmup_iter=5000, conf_thresh_final=0.7, conf_thresh_init=0.9, consistency=0.1, consistency_rampup=200.0, deterministic=1, exp='BCP_CMC_v1_attention_ps8', gpu='0', labeled_bs=6, labelnum=7, magnitude=6.0, max_iterations=30000, model='unet', num_classes=4, patch_size=[256, 256], pre_iterations=10000, root_path='../data_split/ACDC', s_param=6, seed=1337, u_weight=0.5)
total 1312 samples
total 20 samples
Total slices: 1312, labeled: 136
Start pre_training
22 iters/epoch
iter 253: loss:0.756452 dice:1.262470 ce:0.250435
iter 254: loss:0.628561 dice:0.988963 ce:0.268160
iter 255: loss:0.879800 dice:1.370342 ce:0.389258
iter 256: loss:0.797066 dice:1.297339 ce:0.296793
iter 257: loss:0.704721 dice:1.180378 ce:0.229064
iter 258: loss:0.620145 dice:1.043712 ce:0.196578
iter 259: loss:0.634642 dice:1.097592 ce:0.171693
iter 260: loss:0.886556 dice:1.354858 ce:0.418253
iter 261: loss:0.742714 dice:1.218994 ce:0.266433
iter 262: loss:0.654798 dice:1.054819 ce:0.254776
iter 263: loss:0.727356 dice:1.182310 ce:0.272402
iter 264: loss:0.858282 dice:1.235017 ce:0.481547
  3%|▊                               | 12/455 [00:30<20:31,  2.78s/it]iter 265: loss:0.711780 dice:1.169570 ce:0.253990
iter 266: loss:0.742627 dice:1.236539 ce:0.248714
iter 267: loss:0.663794 dice:1.119187 ce:0.208400
iter 268: loss:0.667850 dice:1.108967 ce:0.226733
iter 269: loss:0.838282 dice:1.319197 ce:0.357366
iter 270: loss:0.728940 dice:1.221147 ce:0.236732
iter 271: loss:0.663894 dice:1.133751 ce:0.194038
iter 272: loss:0.667537 dice:1.139764 ce:0.195311
iter 273: loss:0.651322 dice:1.124226 ce:0.178418
iter 274: loss:0.773847 dice:1.222089 ce:0.325606
iter 275: loss:0.729405 dice:1.186265 ce:0.272545
iter 276: loss:0.666873 dice:1.123014 ce:0.210731
iter 277: loss:0.838102 dice:1.290723 ce:0.385481
iter 278: loss:0.850924 dice:1.313097 ce:0.388752
iter 279: loss:0.597336 dice:0.961102 ce:0.233570
iter 280: loss:0.797981 dice:1.250399 ce:0.345562
iter 281: loss:0.784828 dice:1.334527 ce:0.235130
iter 282: loss:0.694505 dice:1.163444 ce:0.225566
iter 283: loss:0.671445 dice:1.148640 ce:0.194251
iter 284: loss:0.934990 dice:1.425900 ce:0.444079
iter 285: loss:0.609137 dice:1.066725 ce:0.151550
iter 286: loss:0.695057 dice:1.189872 ce:0.200242
  3%|▉                               | 13/455 [00:32<18:57,  2.57s/it]iter 287: loss:0.654574 dice:1.129076 ce:0.180071
iter 288: loss:0.801521 dice:1.381221 ce:0.221821
iter 289: loss:0.845290 dice:1.368114 ce:0.322465
iter 290: loss:0.757023 dice:1.241579 ce:0.272467
iter 291: loss:0.711891 dice:1.160427 ce:0.263355
iter 292: loss:0.913919 dice:1.361453 ce:0.466385
iter 293: loss:0.744281 dice:1.190218 ce:0.298344
iter 294: loss:0.734474 dice:1.201196 ce:0.267751
iter 295: loss:0.692959 dice:1.176673 ce:0.209245
iter 296: loss:0.654716 dice:1.103169 ce:0.206264
iter 297: loss:0.657322 dice:1.093162 ce:0.221483
iter 298: loss:0.636244 dice:0.978947 ce:0.293541
iter 299: loss:0.633329 dice:1.121785 ce:0.144873
iter 300: loss:0.960279 dice:1.492847 ce:0.427711
iter 301: loss:0.814406 dice:1.249902 ce:0.378909
iter 302: loss:0.636871 dice:1.093917 ce:0.179824
iter 303: loss:0.755001 dice:1.208570 ce:0.301432
iter 304: loss:0.648999 dice:1.120505 ce:0.177493
iter 305: loss:0.651775 dice:1.130198 ce:0.173352
iter 306: loss:0.851425 dice:1.286267 ce:0.416583
iter 307: loss:0.751549 dice:1.201241 ce:0.301858
iter 308: loss:0.669883 dice:1.115342 ce:0.224425
  3%|▉                               | 14/455 [00:33<16:54,  2.30s/it]iter 309: loss:0.697854 dice:1.213249 ce:0.182459
iter 310: loss:0.630596 dice:1.113460 ce:0.147731
iter 311: loss:0.706861 dice:1.187254 ce:0.226468
iter 312: loss:0.675390 dice:1.141465 ce:0.209315
iter 313: loss:0.790984 dice:1.283147 ce:0.298820
iter 314: loss:0.788195 dice:1.410995 ce:0.165395
iter 315: loss:0.652393 dice:1.111211 ce:0.193575
iter 316: loss:0.722107 dice:1.205012 ce:0.239202
iter 317: loss:0.757571 dice:1.249322 ce:0.265820
iter 318: loss:0.663594 dice:1.180995 ce:0.146193
iter 319: loss:0.688057 dice:1.168924 ce:0.207191
iter 320: loss:0.695996 dice:1.177791 ce:0.214202
iter 321: loss:0.622286 dice:1.038034 ce:0.206537
iter 322: loss:0.695240 dice:1.154045 ce:0.236434
iter 323: loss:0.763305 dice:1.204185 ce:0.322425
iter 324: loss:0.865571 dice:1.373844 ce:0.357297
iter 325: loss:0.722731 dice:1.218929 ce:0.226532
iter 326: loss:0.642654 dice:1.097139 ce:0.188168
iter 327: loss:0.653494 dice:1.098097 ce:0.208891
iter 328: loss:0.691282 dice:1.174069 ce:0.208494
iter 329: loss:0.631902 dice:1.077437 ce:0.186368
iter 330: loss:0.631532 dice:1.081274 ce:0.181790
  3%|█                               | 15/455 [00:35<15:46,  2.15s/it]iter 331: loss:0.707241 dice:1.202692 ce:0.211790
iter 332: loss:0.672642 dice:1.131827 ce:0.213456
iter 333: loss:0.699577 dice:1.139643 ce:0.259512
iter 334: loss:0.686341 dice:1.109590 ce:0.263092
iter 335: loss:0.838816 dice:1.285545 ce:0.392087
iter 336: loss:0.688073 dice:1.108372 ce:0.267775
iter 337: loss:0.635455 dice:1.084692 ce:0.186218
iter 338: loss:0.691672 dice:1.091200 ce:0.292144
iter 339: loss:0.632431 dice:1.046227 ce:0.218635
iter 340: loss:0.638018 dice:1.083850 ce:0.192185
iter 341: loss:0.683084 dice:1.084693 ce:0.281474
iter 342: loss:0.813507 dice:1.257738 ce:0.369277
iter 343: loss:0.633703 dice:1.096318 ce:0.171088
iter 344: loss:0.739413 dice:1.308920 ce:0.169906
iter 345: loss:0.786490 dice:1.264938 ce:0.308041
iter 346: loss:0.717203 dice:1.180444 ce:0.253962
iter 347: loss:0.763222 dice:1.250592 ce:0.275852
iter 348: loss:0.634623 dice:1.109137 ce:0.160109
iter 349: loss:0.676377 dice:1.097060 ce:0.255694
iter 350: loss:0.681580 dice:1.136026 ce:0.227135
iter 351: loss:0.844601 dice:1.350861 ce:0.338342
iter 352: loss:0.855548 dice:1.293529 ce:0.417567
  4%|█▏                              | 16/455 [00:37<15:18,  2.09s/it]iter 353: loss:0.760887 dice:1.211697 ce:0.310076
iter 354: loss:0.810972 dice:1.281237 ce:0.340707
iter 355: loss:0.632300 dice:1.001946 ce:0.262654
iter 356: loss:0.668637 dice:1.133167 ce:0.204108
iter 357: loss:0.763133 dice:1.213880 ce:0.312385
iter 358: loss:0.822031 dice:1.306811 ce:0.337251
iter 359: loss:0.775070 dice:1.173840 ce:0.376300
iter 360: loss:0.907447 dice:1.339488 ce:0.475406
iter 361: loss:0.786600 dice:1.329034 ce:0.244166
iter 362: loss:0.857927 dice:1.309462 ce:0.406392
iter 363: loss:0.811023 dice:1.232384 ce:0.389662
iter 364: loss:0.688260 dice:1.149585 ce:0.226934
iter 365: loss:0.707181 dice:1.204060 ce:0.210302
iter 366: loss:0.792187 dice:1.242855 ce:0.341518
iter 367: loss:0.673024 dice:1.088734 ce:0.257314
iter 368: loss:0.707451 dice:1.182267 ce:0.232635
iter 369: loss:0.649132 dice:1.103442 ce:0.194822
iter 370: loss:0.807986 dice:1.186039 ce:0.429933
iter 371: loss:0.744616 dice:1.228848 ce:0.260384
iter 372: loss:0.687044 dice:1.117397 ce:0.256691
iter 373: loss:0.743551 dice:1.196022 ce:0.291081
iter 374: loss:0.776596 dice:1.254034 ce:0.299158
  4%|█▏                              | 17/455 [00:38<13:51,  1.90s/it]iter 375: loss:0.617871 dice:1.064762 ce:0.170980
iter 376: loss:0.630291 dice:1.052186 ce:0.208396
iter 377: loss:0.618882 dice:1.066261 ce:0.171502
iter 378: loss:0.672663 dice:1.167504 ce:0.177821
iter 379: loss:0.680625 dice:1.148488 ce:0.212762
iter 380: loss:0.807838 dice:1.306957 ce:0.308720
iter 381: loss:0.693856 dice:1.136636 ce:0.251076
iter 382: loss:0.585274 dice:1.053009 ce:0.117540
iter 383: loss:0.695432 dice:1.120307 ce:0.270557
iter 384: loss:0.651546 dice:1.120038 ce:0.183054
iter 385: loss:0.756969 dice:1.242052 ce:0.271886
iter 386: loss:0.686618 dice:1.152737 ce:0.220499
iter 387: loss:0.726997 dice:1.228564 ce:0.225429
iter 388: loss:0.659429 dice:1.132890 ce:0.185969
iter 389: loss:0.766187 dice:1.294415 ce:0.237959
iter 390: loss:0.655623 dice:1.106286 ce:0.204961
iter 391: loss:0.618214 dice:1.027703 ce:0.208725
iter 392: loss:0.659681 dice:1.109843 ce:0.209520
iter 393: loss:0.596072 dice:1.064114 ce:0.128030
iter 394: loss:0.622437 dice:1.080529 ce:0.164345
iter 395: loss:0.938071 dice:1.433142 ce:0.442999
iter 396: loss:0.604949 dice:1.049585 ce:0.160312
  4%|█▎                              | 18/455 [00:40<13:55,  1.91s/it]iter 397: loss:0.677300 dice:1.102951 ce:0.251648
iter 398: loss:0.584069 dice:0.981377 ce:0.186762
iter 399: loss:0.620018 dice:1.053316 ce:0.186720
iter 400: loss:0.669194 dice:1.117355 ce:0.221033
iter 400: mean_dice:0.323163
iter 401: loss:0.753672 dice:1.287295 ce:0.220048
iter 402: loss:0.687059 dice:1.066659 ce:0.307458
iter 403: loss:0.658390 dice:1.105770 ce:0.211010
iter 404: loss:0.653861 dice:1.125750 ce:0.181972
iter 405: loss:0.705888 dice:1.195542 ce:0.216234
iter 406: loss:0.839246 dice:1.350293 ce:0.328199
iter 407: loss:0.718831 dice:1.226487 ce:0.211175
iter 408: loss:0.633873 dice:1.070187 ce:0.197558
iter 409: loss:0.666242 dice:1.135732 ce:0.196753
iter 410: loss:0.602795 dice:1.038403 ce:0.167187
iter 411: loss:0.688545 dice:1.145224 ce:0.231867
iter 412: loss:0.597798 dice:1.004743 ce:0.190853
iter 413: loss:0.603511 dice:1.040498 ce:0.166523
iter 414: loss:0.659948 dice:1.073249 ce:0.246647
