============================================================
  GPU 2 接力实验启动
  开始时间: Tue Jun  9 08:42:50 PM UTC 2026
============================================================

==============================
  [1/2] NA_v2 (soft_mask, bs=12)
==============================

Namespace(base_lr=0.01, batch_size=12, cmc_init_shared=0.4, cmc_loss_weight=1.0, cmc_mutual_conf_thresh=0.75, cmc_mutual_weight=0.5, cmc_patch_size=8, cmc_soft_sigma=0.5, cmc_warmup_iter=5000, conf_thresh_final=0.7, conf_thresh_init=0.9, consistency=0.1, consistency_rampup=200.0, deterministic=1, exp='BCP_CMC_NA_v2_bs12', gpu='2', labeled_bs=6, labelnum=7, magnitude=6.0, max_iterations=30000, model='unet', num_classes=4, patch_size=[256, 256], pre_iterations=10000, root_path='../data_split/ACDC', s_param=6, seed=1337, u_weight=0.5)
total 1312 samples
total 20 samples
Total slices is: 1312, labeled slices is:136
Start pre_training
22 iterations per epoch
  0%|                                         | 0/455 [00:00<?, ?it/s]iteration 1: loss: 2.386269
  4%|█▏                              | 16/455 [00:38<16:44,  2.29s/it]iteration 353: loss: 0.671950
iteration 354: loss: 0.906690
iteration 355: loss: 0.652377
iteration 356: loss: 0.723962
iteration 357: loss: 0.758784
iteration 358: loss: 0.737058
iteration 359: loss: 0.695372
iteration 360: loss: 0.777358
iteration 361: loss: 0.761188
iteration 362: loss: 0.830259
iteration 363: loss: 0.746619
iteration 364: loss: 0.662932
iteration 365: loss: 0.740375
iteration 366: loss: 0.829132
iteration 367: loss: 0.644612
iteration 368: loss: 0.678614
iteration 369: loss: 0.623851
iteration 370: loss: 0.683516
iteration 371: loss: 0.734878
iteration 372: loss: 0.612298
iteration 373: loss: 0.730688
iteration 374: loss: 0.780837
  4%|█▏                              | 17/455 [00:40<15:40,  2.15s/it]iteration 375: loss: 0.611462
iteration 376: loss: 0.630196
iteration 377: loss: 0.629004
iteration 378: loss: 0.701976
iteration 379: loss: 0.650024
iteration 380: loss: 0.815282
iteration 381: loss: 0.713328
iteration 382: loss: 0.588988
iteration 383: loss: 0.688816
iteration 384: loss: 0.626344
iteration 385: loss: 0.741239
iteration 386: loss: 0.693197
iteration 387: loss: 0.688918
iteration 388: loss: 0.634246
iteration 389: loss: 0.788043
iteration 390: loss: 0.676015
iteration 391: loss: 0.624786
iteration 392: loss: 0.619752
